time,match_name,odd
18:30,"FC Schalke 04
SC Freiburg","3.10
3.50
2.20"
20:30,"1 FC Cologne
Bayer Leverkusen","5.20
4.50
1.55"
20:30,"Bayern Munich
VfL Wolfsburg","1.33
5.50
8.00"
20:30,"TSG 1899 Hoffenheim
RB Leipzig","4.50
4.50
1.62"
20:30,"Arminia Bielefeld
FC Augsburg","2.75
3.20
2.60"
18:30,"Holstein Kiel
1. FC Nuremberg","2.20
3.50
3.20"
18:30,"Fortuna Dusseldorf
VfL 1899 Osnabrück","2.30
3.20
3.20"
18:30,"SC Paderborn 07
Eintr. Braunschweig","1.55
4.20
5.70"
19:00,"SV Meppen
FSV Zwickau","2.40
3.50
2.80"
19:00,"Bayern M. II
MSV Duisburg","1.75
4.20
4.00"
19:00,"FC Ingolstadt
FC Hansa Rostock","2.45
3.10
3.00"
19:00,"FC Viktoria Cologne
KFC Uerdingen 05","2.80
3.30
2.50"
18:30,"Home Teams Goals
Away Teams Goals","2.10
8.00
2.00"
18:30,"Home Teams Goals
Away Teams Goals","1.50
7.00
3.50"
18:00,"Großaspach
FC Homburg","2.90
3.20
2.25"
18:00,"FSV Mainz 05 II
TUS Rot-Weiss Koblenz","1.65
3.70
4.30"
18:00,"Preußen 06 Münster
Alemannia Aachen","2.25
3.10
3.00"
19:00,"ROT Weiss Ahlen
Fortuna Cologne","4.50
3.80
1.60"
19:30,"Bergisch Gladbach
Wuppertaler SV","3.20
3.40
2.00"
19:30,"SV 19 Straelen
VfB Homberg","2.10
3.40
3.00"
19:00,"Arsenal FC
Southampton FC","2.10
3.40
3.40"
19:00,"Leicester City
Everton FC","2.10
3.40
3.40"
19:00,"Leeds United
Newcastle United","1.70
3.90
4.60"
21:00,"Liverpool FC
Tottenham Hotspur","1.85
3.90
3.80"
21:00,"West Ham United
Crystal Palace","2.15
3.30
3.40"
21:00,"Fulham FC
Brighton & Hove","2.80
3.30
2.50"
18:30,"Derby County
Swansea City","3.10
3.00
2.35"
20:00,"Middlesbrough
Luton Town","1.80
3.20
4.50"
20:45,"Blackburn Rovers
Rotherham United","1.60
3.80
5.20"
20:45,"Cardiff City
Birmingham City","1.95
3.00
4.20"
21:00,"Reading FC
Norwich City","3.00
3.20
2.30"
21:00,"Coventry City
Huddersfield Town","2.25
3.10
3.10"
19:00,"Home Teams Goals
Away Teams Goals","1.45
9.50
3.30"
21:00,"FC Barcelona
Real Sociedad","1.55
4.50
5.20"
18:00,"CE L'hospitalet
UD Almeria","3.20
3.00
2.20"
18:00,"San Fernando CD
CD Castellon","2.65
3.00
2.55"
