time,match_name,odd
19:30,"FC Union Berlin
Borussia Dortmund","4.30
4.00
1.72"
17:30,"VfL Bochum
1. FC Heidenheim","2.30
3.30
3.10"
17:30,"Jahn Regensburg
Hannover 96","2.70
3.50
2.50"
18:00,"1860 Munich
SV Wehen Wiesbaden","1.95
3.50
3.80"
17:30,"Home Teams Goals
Away Teams Goals","2.10
5.00
2.30"
18:15,"SV Meppen (W)
MSV Duisburg (W)","1.95
3.50
3.20"
20:00,"Preston North End
Bristol City","2.15
3.20
3.30"
17:30,"Hull City
Portsmouth FC","2.55
3.10
2.70"
12:00,"Chelsea FC U23
Manchester Utd U23","1.70
4.20
3.50"
19:00,"Brighton & Hove U23
Everton FC U23","2.40
3.30
2.55"
19:00,"Arsenal FC U23
Leicester City U23","2.25
3.70
2.50"
14:00,"Aston Villa U23
Middlesbrough FC U23","2.50
3.70
2.25"
13:00,"Birmingham City U23
Sheffield United U23","2.10
3.70
2.75"
20:00,"Athletic Bilbao
SD Huesca","2.00
3.10
4.30"
18:00,"Ponferradina SD
Real Oviedo","3.20
2.90
2.35"
18:00,"Virtus Entella
Pordenone Calcio","3.30
3.00
2.20"
20:00,"Frosinone Calcio
US Salernitana 1919","1.95
3.20
3.80"
19:00,"AJ Auxerre
Pau FC","1.75
3.40
4.50"
19:00,"ESTAC Troyes
Chamois Niort FC","1.57
3.80
5.50"
19:00,"FC Chambly Oise
EA Guingamp","3.50
3.00
2.15"
19:00,"FC Sochaux
Grenoble Foot 38","2.90
2.75
2.65"
19:00,"AC Ajaccio
AS Nancy","2.35
2.75
3.40"
19:00,"Dunkerque
SM Caen","3.20
2.70
2.50"
19:00,"Valenciennes FC
Amiens SC","2.90
2.75
2.65"
19:00,"Rodez Aveyron
LB Chateauroux","2.10
3.00
3.60"
17:30,"US Quevilly Rouen
Red Star FC","2.60
2.75
2.90"
17:30,"Lyon Duchere AS
Le Mans FC","2.90
2.65
2.70"
17:30,"Stade Briochin
FC Bourg Peronnas","2.70
2.90
2.60"
17:30,"US Orleans
Sete 34 FC","1.80
3.10
4.40"
17:30,"US Creteil
US Concarneau","2.30
2.70
3.40"
17:30,"US Avranches
FC Villefranche-Beaujolais","3.00
2.70
2.50"
17:30,"FC Bastia Borgo
Stade Laval","3.00
2.65
2.55"
17:30,"Annecy FC
SC Bastia","4.10
3.00
1.90"
17:30,"SO Cholet
US Boulogne CO","2.70
2.90
2.60"
16:00,"Fatih Karagümrük
Galatasaray Istanbul","4.80
4.00
1.65"
19:00,"PEC Zwolle
FC Emmen","1.90
3.70
3.80"
17:45,"FC Den Bosch
FC Eindhoven","4.00
3.80
1.75"
17:45,"NAC Breda
FC Volendam","2.75
3.50
2.30"
20:00,"MVV Maastricht
FC Dordrecht","2.25
3.60
2.80"
20:00,"Jong AZ Alkmaar
Helmond Sport","2.40
3.60
2.55"
19:45,"Sporting Charleroi
RSC Anderlecht","2.90
3.20
2.45"
19:00,"Club Brügge NXT
Lommel United","4.30
3.70
1.70"
19:00,"RSC Anderlecht (W)
SV Zulte Waregem (W)","15.00
25.00"
19:30,"Ladies Genk (W)
Club Brugge (W)","4.70
4.40
1.47"
20:30,"Portimonense SC
FC Famalicao","2.40
3.20
3.00"
11:00,"Benfica Lisbon U23
Estoril Praia U23","1.95
3.60
3.10"
15:00,"Boavista FC U23
Leixoes SC U23","3.90
3.70
1.70"
20:00,"FC Felgueiras
AD Fafe","4.00
3.10
1.85"
18:00,"FC Stade LS Ouchy
Neuchatel Xamax FC","1.50
4.30
5.00"
18:00,"FC Chiasso
SC Kriens","2.60
3.30
2.40"
19:00,"FC Winterthur
FC Wil 1900","1.60
3.70
4.70"
19:00,"FC Schaffhausen
Grasshopper Club Zurich","2.55
3.40
2.40"
17:00,"Hobro IK
Kolding IF","1.80
3.70
3.60"
18:00,"Skive IK
Silkeborg IF","6.00
4.50
1.40"
18:00,"FC Helsingor
Viborg FF","4.30
3.70
1.65"
17:00,"Wisla Plock SA
TS Podbeskidzie B.","1.90
3.40
3.80"
19:30,"KP Legia Warszawa
FKS Stal Mielec","1.25
5.50
10.00"
17:00,"FC Banik Ostrava
SK Sigma Olomouc","1.80
3.30
4.40"
20:10,"Sportivo Italiano
Ituzaingo","2.10
2.75
3.70"
20:10,"San Martin de Burzaco
CA Central Cordoba","2.70
2.65
2.75"
20:10,"CA Lugano
CSD Liniers","3.70
2.75
2.10"
15:00,"FK Tambov
FC Ural Yekaterinburg","4.70
3.10
1.80"
18:30,"CS Univer. Craiova
FCSB","3.10
3.10
2.25"
16:00,"CSKA Sofia
Levski Sofia","1.35
4.10
8.50"
19:00,"MOL Fehérvár FC
Kisvarda KC","1.45
4.00
6.20"
19:45,"Caernarfon Town
Newtown AFC","2.05
3.70
2.90"
19:30,"Carrick Rangers FC
Crusaders FC","6.20
4.40
1.40"
13:00,"Beitar Tel Aviv Bat Yam
Hapoel Petah Tikva","1.57
3.70
5.20"
13:00,"Hapoel Afula
Hapoel Kfar Shelem","1.70
3.40
4.40"
13:00,"Hapoel Um al Fahm
Hapoel Nof HaGalil FC","4.30
3.00
1.85"
13:00,"Hap. Rishon Lez
Kafr Qasim","2.20
3.00
3.20"
12:30,"FK Rad Belgrade
Red Star","12.00
5.50
1.18"
19:00,"Oeste FC
Esporte Clube Vitória","3.20
3.00
2.20"
21:00,"Esporte Clube Juventude
Centro Sportivo Alagoano","2.45
2.90
2.90"
13:00,"Cobreloa
Deportes Puerto Montt","1.85
3.20
3.80"
13:30,"Santiago Morning
Deportes Melipilla","2.90
2.65
2.55"
21:00,"Deportes Temuco
CSD Rangers","2.15
3.10
3.10"
21:00,"Colchagua CD
Indep. de Cauquenes","1.75
3.50
3.80"
20:00,"Valledupar FC
Leones FC","1.90
3.00
3.90"
22:30,"12 de Octubre de Itaugua
Cerro Porteno","4.40
3.60
1.65"
22:30,"Club Sportivo Luqueno
Sol de America","3.20
3.30
2.05"
22:30,"Sp. San Lorenzo
Club River Plate Asuncion","2.55
3.20
2.50"
18:00,"Santos FC ICA
Sport Chavelines Juniors","10.00
4.30
1.27"
18:00,"Comerciantes Unidos
CS Union Huaral","4.00
3.80
1.65"
18:00,"Juan Aurich de Chiclayo
Alianza Atletico","1.65
3.40
4.70"
18:00,"Union Comercio
Pirata FC","2.30
3.50
2.55"
14:00,"Northeast United FC
Jamshedpur","2.70
2.80
2.60"
11:00,"Prachuap FC
Buriram United FC","4.10
3.80
1.65"
11:30,"Sukhothai FC
Chonburi FC","2.15
3.50
2.75"
17:30,"Naft Al-Basra SC
Zakho FC","3.40
2.70
2.20"
11:30,"Zob Ahan Isfahan FC
Esteghlal FC","3.50
2.90
2.10"
11:30,"Saipa FC
Machine Sazi Tabriz","2.00
2.65
4.20"
11:30,"Gol Gohar Sirjan FC
Shahr Khodro FC","2.15
2.60
3.80"
11:45,"Naft Masjed Soleyman FC
Foolad Khuzestan FC","4.30
2.40
2.15"
11:45,"Tractor Sazi Tabriz FC
Paykan","1.70
2.90
5.50"
14:00,"Ramtha SC
Al Aqaba","1.85
3.10
4.00"
16:30,"Al-Wehdat
Shabab AL Ordun","1.50
3.70
5.70"
