time,match_name,home_code,draw_code,away_code
21:00,Arsenal FC vs Crystal Palace,1.65,3.70,5.70
21:00,Real Madrid vs Athletic Bilbao,1.57,3.90,5.80
17:30,US Sassuolo vs Spal 2013,1.57,4.20,5.30
21:15,Atalanta Bergamo vs Cagliari Calcio,1.25,6.20,10.00
16:45,Alanyaspor vs B.B. Erzurumspor,1.35,4.80,7.50
18:45,Fenerbahce vs Kasimpasa,1.37,4.50,7.50
15:00,AD Fafe vs Belenenses Lissabon,4.20,3.40,1.75
21:30,Gil Vicente FC vs Academico Viseu,1.65,3.30,5.20
12:00,CO DO Montijo vs Praiense,4.20,3.00,1.85
18:45,SC Heerenveen vs RKC Waalwijk,1.57,4.20,5.30
20:00,FC Twente Enschede vs Ajax Amsterdam,8.50,5.70,1.30
21:00,Willem II Tilburg vs FC Groningen,3.30,3.40,2.15
12:00,Sonderjyske vs Odense BK,2.40,3.00,2.75
13:00,Dinamo Zagreb vs Fehervar FC,1.55,4.30,4.30
14:00,FK Neftchi Baku vs Keshla FK,1.57,3.90,4.50
14:00,AC Horsens vs Skive IK,1.37,4.70,5.80
21:45,Defensa y Justicia vs CA Aldosivi,2.05,3.20,3.60
16:15,Atromitos Athens vs Lamia,1.85,3.10,4.50
18:30,Aris Thessaloniki FC vs AEK Athens FC,3.00,2.85,2.50
22:45,Cruz Azul FC (W) vs Club Leon (W),1.80,3.50,3.70
16:00,FC Botosani vs FC Arges Pitesti,1.45,4.10,6.70
19:00,CFR Cluj vs ACS FC Academica Clinceni,1.40,4.10,8.00
23:15,Operário Ferroviário Esporte Clube vs Clube de Regatas Brasil,2.25,2.80,3.30
22:00,Gremio Anapolis GO vs Goianesia GO,3.10,3.30,2.05
21:00,Sporting FC vs CS Herediano,3.10,3.20,2.15
21:00,Everton de Vina Del Mar vs Audax Italiano,1.65,3.70,4.40
23:15,Universidad de Chile vs CD Palestino,3.30,3.30,2.00
22:15,Jocoro FC vs Municipal Limeno,2.40,3.00,2.75
23:30,Deportivo Pasto vs America de Cali,2.45,2.55,3.20
15:00,FC Goa vs Jamshedpur,1.90,3.20,3.60
11:30,Sudeva Delhi FC vs Indian Arrows,1.57,3.50,5.20
14:30,Mohammedan SC vs Churchill Brothers SC,3.10,3.10,2.15
16:00,Al Hala vs Al Ittifaq BHR,1.33,4.70,6.70
11:30,Foolad Novin Ahvaz vs Melli Hafari Ahvaz,1.55,3.60,5.00
11:30,Shahrdari Hamedan vs Espad Tehran,1.60,3.60,4.50
15:45,AL Waab SC vs Al Shamal,8.00,6.00,1.20
15:45,Mesaimeer SC vs Al Shahaniya,4.00,3.80,1.65
15:45,Lusail vs Al Bidda SC,3.30,3.30,1.95
15:45,Al Muaither SC vs Al Markhiya,2.70,3.60,2.10
15:00,Al-Jazeera C. A. vs Shabab AL Ordun,1.35,4.40,6.80
13:00,Blama vs Al-Arabi,1.22,5.00,10.00
13:00,Al-jalil vs Dar Al Dawa,1.80,3.20,4.10
13:30,Al Faisaly vs AL Qadisiyah,1.85,3.50,3.50
13:55,Al Ain vs AL Shabab FC (ksa),3.60,3.40,1.85
15:45,Al Ettifaq vs Al Batin,1.70,3.90,3.80
15:50,Al Fateh SC vs Al Taawon,2.40,3.20,2.60
18:10,Al Ittihad Jeddah vs Abha Club,1.42,4.20,5.80
14:00,JSM Skikda vs CS Constantine,2.90,2.55,2.65
13:00,Gor Mahia FC vs Mathare United FC,1.28,4.70,8.50
13:00,Chemelil Sugar vs Mount Kenya United,1.70,3.40,4.20
13:00,Shabana FC vs Coast Stima,3.50,3.20,1.90
14:15,Hayal-Arab vs Hilal El Fasher,1.80,3.00,4.30
17:15,Al Ahly Merowe vs Hay Alwady FC,2.60,3.00,2.50
13:30,Aswan FC vs Ghazl El Mahallah,3.40,2.60,2.30
16:00,El Gouna FC vs Al Ittihad Al Sakandary,2.65,2.80,2.65
13:30,Pharco FC vs Ala'ab Damanhur,1.60,3.10,5.70
13:30,Sporting Club vs Abo Qair Semads,3.00,3.00,2.20
13:30,Biyala SC vs Maley. Kafr El Zayiat,4.00,2.90,1.90
13:30,El Hammam vs Al Olympi,3.50,2.80,2.10
17:00,Young African FC vs Team Rhino,2.20,2.60,3.50
17:00,Gunjur United vs Immigration,3.50,2.60,2.20
17:00,2nd Infantry vs PSV Wellingara,3.40,2.60,2.25
17:00,Jam City Utd vs SK East BI,2.00,2.60,4.30
